Earth's surface,9.8
1000 km above surface,7.33
2000 km above surface,5.68
3000 km above surface,4.53
4000 km above surface,3.7
5000 km above surface,3.08
6000 km above surface,2.6
7000 km above surface,2.23
8000 km above surface,1.93
9000 km above surface,1.69
10000 km above surface,1.49
50000 km above surface,0.13
